"Sample_ID","PC1","PC2","PC3","Group"
"GSM254666",-26.1130582705212,0.47472299963975,5.605712295702,"Tumor"
"GSM254667",20.1347233709709,1.12709147571352,2.16329409019904,"Normal"
"GSM254668",-36.2138361646582,26.5225205183083,-7.13531907386553,"Tumor"
"GSM254669",39.0925719469687,14.9543109482171,-9.53679291623925,"Normal"
"GSM254670",-20.6229690831475,-19.2385048021447,-26.3329334247569,"Tumor"
"GSM254671",36.0187172726365,-15.9694632073768,-15.6557860855325,"Normal"
"GSM254672",-34.8704369847941,-35.5126554503941,15.4209144914914,"Tumor"
"GSM254673",40.2739380611316,17.5321170567188,-8.55672150976846,"Normal"
"GSM254674",-31.4825994464899,14.0447353745922,-16.839395850029,"Tumor"
"GSM254675",-34.9621876349097,-5.73982404648873,3.60266642029359,"Tumor"
"GSM254676",31.6457492964122,3.2372253646693,-0.716043488889696,"Normal"
"GSM254677",22.4870070987982,-62.5725601834,6.68921715179276,"Normal"
"GSM254678",-38.8424906259316,-18.3633203250706,3.17003827621487,"Tumor"
"GSM254679",32.3147635944846,-23.7653201204392,-4.20343437942289,"Normal"
"GSM254680",-35.8894423411905,6.21912524813175,-4.17589026540598,"Tumor"
"GSM254681",41.5047768082291,37.8077923692117,34.6281384513495,"Normal"
"GSM254682",-38.8133915823926,29.1321375890974,-9.20192034954235,"Tumor"
"GSM254683",33.1692771359787,33.4583464772429,-7.23241808016938,"Normal"
"GSM254684",-30.0633699287011,-21.478648152905,-14.3270149146295,"Tumor"
"GSM254685",36.1826374606806,-20.7327859179223,22.1755730270349,"Normal"
"GSM254686",-28.3536692624442,13.6765443203604,-13.3350034532696,"Tumor"
"GSM254687",-31.6556141766964,44.3321269767022,8.98257632575734,"Tumor"
"GSM254688",-37.5133016787567,22.2407874829488,6.15807708620866,"Tumor"
"GSM254689",38.0040441614374,37.2360877165994,15.2355336714108,"Normal"
"GSM254690",-42.6989767054244,3.73085820222547,-12.8912226373784,"Tumor"
"GSM254691",29.7473083693258,2.70298345880311,2.87392578209786,"Normal"
"GSM254692",-47.7102302553581,34.4895704199928,26.3065788902639,"Tumor"
"GSM254693",41.4990477037639,13.3396819735862,2.51380672861557,"Normal"
"GSM254694",-6.1214098353087,-7.86188413517413,-15.3487136873479,"Tumor"
"GSM254695",17.6718292490649,-9.79346523073838,-13.6095208886912,"Normal"
"GSM254696",-34.7479819314069,-11.2992766898461,-25.4037836555972,"Tumor"
"GSM254697",-53.8152816491042,-12.5280731201276,9.31091034409858,"Tumor"
"GSM254698",-37.3645874529696,-24.0991725310626,-22.9868336705014,"Tumor"
"GSM254699",41.8130028815416,4.88077451373289,-15.7559720081144,"Normal"
"GSM254700",-52.385029382131,-4.73962997192757,4.14084753529634,"Tumor"
"GSM254701",-19.4280987384366,-3.45705091382069,-17.0093795022097,"Tumor"
"GSM254702",43.7364159764161,-8.58799833142503,-10.8182326380851,"Normal"
"GSM254703",27.5694124233174,-9.77201611319006,11.5097037164429,"Normal"
"GSM254704",-35.7917447813995,-32.4932625174996,29.4900270635385,"Tumor"
"GSM254705",-34.417405615882,36.3684609849271,7.13183875895418,"Tumor"
