"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"212243_at",-0.219627810633356,8.13279581214019,-4.41332292809251,2.41299195797107e-05,9.31705073634889e-05,1.5883019350409,"Not Significant","POLR2M"
"203730_s_at",0.184390568832864,6.18575427259813,4.40965081798483,2.44792237382794e-05,9.45028660014e-05,1.57449833026201,"Not Significant","ZKSCAN5"
"215997_s_at",0.313839662428923,5.36805569386916,4.40957718643282,2.44862774642518e-05,9.45137226287756e-05,1.57422162800827,"Not Significant","CUL4B"
"208695_s_at",0.136196459359606,13.410221026729,4.40934550044891,2.45084852158896e-05,9.45830578568875e-05,1.57335098912618,"Not Significant","RPL39"
"215471_s_at",0.280626928205488,7.45565933407477,4.40919328255034,2.45230863006554e-05,9.46159427094731e-05,1.57277899590083,"Not Significant","MAP7"
"200805_at",0.355124368713229,8.13050428431776,4.40916814258068,2.45254985904015e-05,9.46159427094731e-05,1.57268452809152,"Not Significant","LMAN2"
"205544_s_at",0.430189442082336,6.53212077885047,4.40889327947164,2.45518878382539e-05,9.47013530724963e-05,1.57165170655623,"Not Significant","CR2"
"215873_x_at",0.200517764342364,8.07352715183178,4.40861100181022,2.45790174492013e-05,9.47895891001302e-05,1.57059107076921,"Not Significant","ABCC10"
"208670_s_at",-0.389198251546093,8.08447724586916,-4.40835937653665,2.46032254401689e-05,9.48665292409212e-05,1.56964564865908,"Not Significant","EID1"
"214947_at",-0.191889194134413,7.46882276639252,-4.40784700878081,2.46525896570607e-05,9.50404247972808e-05,1.56772066460248,"Not Significant","OTULINL"
"221826_at",0.32318902243033,6.99310067535514,4.40762288783103,2.46742126703984e-05,9.5107331073255e-05,1.56687868302518,"Not Significant","ANGEL2"
"200927_s_at",-0.451364520561575,9.04995054098131,-4.40754500792517,2.46817307438934e-05,9.51198557879933e-05,1.56658610937242,"Not Significant","RAB14"
"205497_at",-0.237799182870514,7.83397362973832,-4.40666510940163,2.47668246573133e-05,9.54312906517227e-05,1.56328081921148,"Not Significant","ZNF175"
"201097_s_at",0.277313798997184,11.2941485791589,4.40621366571106,2.48105929728627e-05,9.55834099609785e-05,1.56158517396991,"Not Significant","ARF4"
"207980_s_at",-0.727914860335326,8.12145655898131,-4.4056679215396,2.48636034944668e-05,9.5771076346967e-05,1.55953549259217,"Not Significant","CITED2"
"214496_x_at",-0.266890599521463,8.16561888992523,-4.40411072432407,2.50154620362393e-05,9.63393606210718e-05,1.55368801174259,"Not Significant","KAT6B"
"202497_x_at",-0.482807062949683,9.58931256348598,-4.40303020934387,2.51213595398139e-05,9.67304742743516e-05,1.54963138024663,"Not Significant","SLC2A3"
"212343_at",-0.325710583044687,9.10694012235514,-4.40224710184429,2.51983792269523e-05,9.70102771793673e-05,1.54669175320895,"Not Significant","YIPF6"
"211698_at",-0.428509811727304,7.28621276947664,-4.40186288832983,2.52362503645859e-05,9.71392929476711e-05,1.54524962643473,"Not Significant","EID1"
"201753_s_at",-0.481303992895496,10.1971515341682,-4.40130643235,2.52911964111688e-05,9.73339774836054e-05,1.54316115115777,"Not Significant","ADD3"
"201472_at",0.332965600198451,9.85173085666355,4.4001579185705,2.54049689277348e-05,9.7746877110938e-05,1.53885116163818,"Not Significant","VBP1"
"218938_at",-0.284763212682618,6.65523503720561,-4.40013486975803,2.54072572017481e-05,9.7746877110938e-05,1.53876467513539,"Not Significant","FBXL15"
"214616_at",-0.17473944556615,7.87003305723364,-4.39961678420787,2.5458744935779e-05,9.79280534099711e-05,1.53682073592758,"Not Significant","H3C6"
"213420_at",0.185695067102041,6.42697358707477,4.39945513735658,2.54748301045973e-05,9.79730133277081e-05,1.53621424388766,"Not Significant","DHX57"
"208852_s_at",0.450804121205137,10.0610220975514,4.39873692436422,2.55464166786501e-05,9.82313723641691e-05,1.53351972711689,"Not Significant","CANX"
"218260_at",0.294330727969389,7.30068671261682,4.3980549777737,2.56145679654706e-05,9.84764351232888e-05,1.53096155422585,"Not Significant","DDA1"
"202887_s_at",0.681170934936311,9.98692997486916,4.39781321565548,2.56387708658358e-05,9.8552480801004e-05,1.53005470300888,"Not Significant","DDIT4"
