"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"211374_x_at",-0.125784313598522,6.82240980156075,-2.94288886121333,0.00397740442614834,0.00995937777591455,-3.22702451622654,"Not Significant"
"202090_s_at",0.185802475608374,10.3015280404673,2.94254237731421,0.00398152385393004,0.0099685725884408,-3.2279737880785,"Not Significant"
"209024_s_at",0.314866469973258,9.13140819585047,2.94115343294142,0.00399807679603399,0.0100087217897375,-3.23177816313219,"Not Significant"
"207030_s_at",-0.368553914458832,8.46987626052336,-2.94112150220562,0.00399845807890516,0.0100087217897375,-3.23186560472648,"Not Significant"
"200959_at",0.225306874925405,8.66996882683178,2.94085654315192,0.00400162322938618,0.0100155195350345,-3.23259115788219,"Not Significant"
"206199_at",0.352591521953904,6.24287921579439,2.94067324980133,0.00400381416625086,0.010019877702894,-3.23309304840063,"Not Significant"
"206433_s_at",0.0791372828870511,4.70362203799065,2.94028050260491,0.00400851245895659,0.0100305090536698,-3.23416837191691,"Not Significant"
"204260_at",0.380502890289937,5.41590204616822,2.93973305340242,0.00401506986255902,0.0100457895516958,-3.23566705819866,"Not Significant"
"208816_x_at",-0.205068181065799,10.4429218556916,-2.93955819087092,0.00401716646374653,0.0100488507130748,-3.2361457083703,"Not Significant"
"202544_at",-0.164890742756509,10.0809638778692,-2.9395557891167,0.00401719526778576,0.0100488507130748,-3.23615228250905,"Not Significant"
"206920_s_at",0.117623711812456,7.76479674117757,2.93899648566296,0.00402390812649371,0.0100645128277763,-3.23768309661532,"Not Significant"
"202407_s_at",0.222682695749472,6.89114357681308,2.93868022071632,0.00402770856214437,0.0100728877542383,-3.23854860425353,"Not Significant"
"220221_at",-0.181405186352217,6.58854777645794,-2.93796445225654,0.00403632188120742,0.0100932959801307,-3.24050712164115,"Not Significant"
"204854_at",0.1536923142171,5.81670926205607,2.9378857717961,0.00403726972906139,0.01009453336767,-3.24072238580822,"Not Significant"
"218297_at",-0.133534456391274,7.85700983835514,-2.93784191596092,0.00403779814048959,0.0100947218629563,-3.2408423701352,"Not Significant"
"205995_x_at",0.116158203063687,8.61593637597196,2.93679467970569,0.00405043503217631,0.0101251787998637,-3.24370703012406,"Not Significant"
"209457_at",0.432574106330752,8.9972859431028,2.93672634966794,0.0040512608271863,0.0101261071241943,-3.24389391312369,"Not Significant"
"204710_s_at",0.196804122156931,10.1806727458318,2.93647470223469,0.00405430342021409,0.0101325754949115,-3.24458213817908,"Not Significant"
"213616_at",-0.265791512268825,7.23825475566355,-2.93639147898616,0.0040553101099651,0.0101329039719777,-3.24480973256091,"Not Significant"
"206519_x_at",-0.201071692766714,5.17155574063551,-2.93638865065194,0.00405534432626205,0.0101329039719777,-3.24481746723783,"Not Significant"
"218677_at",0.374945836420479,9.43458902607477,2.93609538465411,0.00405889360825059,0.010140635303582,-3.2456194305551,"Not Significant"
"209452_s_at",0.162850408426813,9.81845866985981,2.935831547407,0.00406208916819184,0.0101474812707196,-3.24634085987193,"Not Significant"
"203193_at",0.135582721641097,6.7515769238785,2.93578245226561,0.00406268405711861,0.0101478297102089,-3.2464750981803,"Not Significant"
"219182_at",-0.248429490653764,7.67717044354206,-2.93490112872785,0.00407337675607996,0.010173397697347,-3.24888453016317,"Not Significant"
"202549_at",-0.183683914663266,6.12206206738318,-2.93459350791458,0.0040771150726532,0.01018159309245,-3.24972538310876,"Not Significant"
"218247_s_at",0.313490653844123,6.70201408174766,2.93376247892136,0.00408722981900659,0.0102057084330932,-3.25199654814264,"Not Significant"
"205400_at",-0.1309691538019,7.28970002318692,-2.93353456376432,0.00409000788623158,0.0102115009220054,-3.25261933425656,"Not Significant"
"214752_x_at",-0.325537086351865,10.012629696271,-2.93339915076331,0.00409165926352755,0.0102144794274238,-3.25298933547207,"Not Significant"
"210198_s_at",-0.0806964945534835,5.89015899403738,-2.93334371269409,0.00409233551420349,0.0102150232175419,-3.2531408097327,"Not Significant"
"209137_s_at",0.142018900035186,8.89703575404673,2.93325805818762,0.00409338055649572,0.0102164873365137,-3.25337484001618,"Not Significant"
"212176_at",-0.254145638837087,8.88923478065421,-2.93274974801224,0.00409958733464505,0.0102308326327579,-3.25476355512569,"Not Significant"
"204892_x_at",-0.0964819175263891,14.2240417923364,-2.93265071660271,0.00410079757609596,0.0102327068743725,-3.25503408733822,"Not Significant"
"222083_at",-0.13665311327164,7.7477441211215,-2.93177498068932,0.0041115140701224,0.0102582989614307,-3.25742606791192,"Not Significant"
"211898_s_at",0.156483328993665,6.5537955261215,2.93158203728048,0.00411387860464566,0.0102630493671428,-3.25795299067018,"Not Significant"
"216559_x_at",0.121612130926812,8.92799467002804,2.93107391716962,0.00412011163792013,0.0102774485198449,-3.25934051024094,"Not Significant"
"212366_at",0.230591273100633,5.82024288716822,2.93079076352253,0.00412358880988874,0.0102849708362157,-3.26011362668687,"Not Significant"
"208781_x_at",-0.152576632709359,10.8043769879439,-2.93070700787417,0.00412461785988182,0.0102863860964462,-3.26034229904888,"Not Significant"
"213511_s_at",0.182815247627375,9.54670747427103,2.93009801383476,0.00413210727179661,0.010303625753847,-3.26200482657842,"Not Significant"
"216278_at",-0.249669136106262,5.58078022288785,-2.93004896551092,0.00413271101237965,0.010303625753847,-3.26213871357266,"Not Significant"
"221265_s_at",0.101630485729064,9.11350828502804,2.93003216872397,0.00413291778431469,0.010303625753847,-3.26218456324896,"Not Significant"
"215553_x_at",-0.194513695151302,7.7382475604486,-2.92936109293992,0.00414118665643425,0.0103230856097242,-3.26401619495387,"Not Significant"
"214760_at",-0.146921205451442,8.83673086409346,-2.92864302394888,0.0041500514226467,0.0103440263815253,-3.26597569347727,"Not Significant"
"218088_s_at",-0.186000927397256,10.1489330848411,-2.92846041699178,0.00415230853976776,0.0103484947088295,-3.26647393410216,"Not Significant"
"204137_at",-0.330544319608374,7.50010436971963,-2.92836833263397,0.0041534471786446,0.0103501748469848,-3.26672517498332,"Not Significant"
"200870_at",0.214999455017593,10.4970652904393,2.92805853411894,0.00415727999925611,0.01035856761975,-3.267570372784,"Not Significant"
"213933_at",-0.156039607541872,6.03405972954206,-2.92713325942591,0.00416874685555115,0.0103859778826304,-3.27009426952029,"Not Significant"
"219766_at",-0.133362342178044,7.06392929686916,-2.92683431658209,0.00417245784398515,0.0103940612786496,-3.27090955854799,"Not Significant"
"204919_at",0.116988873510204,6.71373125505608,2.9262796783097,0.00417935100957348,0.0104100691422229,-3.27242200235154,"Not Significant"
"221194_s_at",0.190151744256158,7.6411145406729,2.92612015589392,0.00418133552758448,0.0104138481682312,-3.27285695894972,"Not Significant"
"216394_x_at",0.0952076305520754,6.09352632328037,2.9258626772554,0.00418454048581149,0.0104206655839671,-3.27355896201647,"Not Significant"
"219129_s_at",0.134575853594652,5.95842311257009,2.92580325004285,0.00418528052524031,0.0104213438310347,-3.27372097995451,"Not Significant"
"212402_at",-0.226145892867698,7.95411966057944,-2.92572252993136,0.00418628591519031,0.0104218023887005,-3.273941044774,"Not Significant"
"207440_at",-0.127324599713934,6.26889946574766,-2.92571336435118,0.00418640008891342,0.0104218023887005,-3.27396603229295,"Not Significant"
"211301_at",-0.121412030022871,6.23444738316822,-2.92545888788739,0.00418957119303529,0.01042764699804,-3.27465976808559,"Not Significant"
"202288_at",0.131152415819493,6.34493987687851,2.92544985655172,0.00418968377567886,0.01042764699804,-3.27468438773012,"Not Significant"
"219188_s_at",0.245305479839901,7.56245931866355,2.92487739905181,0.00419682558525101,0.0104442555859,-3.27624478871823,"Not Significant"
"211078_s_at",0.0747604068170299,4.26982368640187,2.92475363653302,0.00419837108084447,0.0104469349854224,-3.27658210554614,"Not Significant"
"217909_s_at",0.153764638779732,8.72469588106542,2.92442473286395,0.00420248083919187,0.0104559938074712,-3.27747847884294,"Not Significant"
"205850_s_at",0.151185991470795,4.53644693572897,2.92380647166629,0.00421021622958802,0.0104740703632812,-3.27916321606492,"Not Significant"
"206204_at",0.46990552579627,5.85215382780374,2.92278310396102,0.00422304889963129,0.0105048223521416,-3.28195118445115,"Not Significant"
"222186_at",-0.265780612425756,7.89407695111215,-2.92228227086077,0.00422934226997425,0.0105193028018569,-3.28331530429582,"Not Significant"
"217473_x_at",-0.130699840783603,7.11607000127103,-2.92208440050174,0.00423183104586562,0.0105243182137303,-3.28385418909838,"Not Significant"
"212699_at",0.132007253949684,8.49016607301869,2.92203311385618,0.00423247633930539,0.0105247483839685,-3.28399385927635,"Not Significant"
"210178_x_at",0.198990131820549,8.23441324926168,2.92151199684863,0.00423903821529504,0.0105398893719504,-3.28541291134833,"Not Significant"
"211440_x_at",-0.102935995623857,6.91248781928037,-2.92090489502831,0.00424669460365612,0.0105577480590505,-3.28706583595309,"Not Significant"
"219015_s_at",0.23625887496798,6.83538730282243,2.92024147664435,0.00425507575908934,0.0105774044109536,-3.28887175544921,"Not Significant"
"201485_s_at",0.292199182569317,9.06276515772897,2.91960138669792,0.00426317661282223,0.0105952622902625,-3.29061383967455,"Not Significant"
"202624_s_at",-0.174445027956721,8.06467260727103,-2.91959870392657,0.00426321059527415,0.0105952622902625,-3.29062114048366,"Not Significant"
