"SYMBOL","ENTREZID"
"PTCH1","5727"
"KRT8","3856"
"C5AR1","728"
"SLC16A3","9123"
"KAT2B","8850"
"MME","4311"
"NEDD9","4739"
"CDKN3","1033"
"BIRC5","332"
"AGTR2","186"
"ADCY9","115"
"TSPAN6","7105"
"MMP11","4320"
"KLF6","1316"
"COL1A2","1278"
"FABP5","2171"
"GINS1","9837"
"EFNB2","1948"
"CD52","1043"
"LGR4","55366"
"SYNE1","23345"
"CNN1","1264"
"SOCS2","8835"
"DNAJB4","11080"
"CRABP2","1382"
"ZEB2","9839"
"KIF2A","3796"
"GMNN","51053"
"AQP1","358"
"GPI","2821"
"NRGN","4900"
"MMP1","4312"
"EOGT","285203"
"TPD52","7163"
"RPS6KA2","6196"
"BUB1B","701"
"ALDH1A1","216"
"CD24","100133941"
"PLAU","5328"
"IL7R","3575"
"SLC15A2","6565"
"AK4","205"
"SHMT2","6472"
"GPRC5A","9052"
"ID3","3399"
"HEY1","23462"
"PHACTR2","9749"
"ECM2","1842"
"WWTR1","25937"
"MRC1","4360"
"LMO7","4008"
"APOLD1","81575"
"OTULINL","54491"
"UBE2C","11065"
"OGN","4969"
"RAPGEF5","9771"
"ACKR1","2532"
"SLK","9748"
"MEIS2","4212"
"SFTPB","6439"
"STEAP1","26872"
"PCYOX1","51449"
"DLGAP5","9787"
"KIF4A","24137"
"ALOX5","240"
"COL4A3","1285"
"MSR1","4481"
"PLAGL1","5325"
"OLR1","4973"
"COL5A2","1290"
"RBP4","5950"
"ADAM28","10863"
"TMPRSS4","56649"
"CAMK2N1","55450"
"MYRF","745"
"SLPI","6590"
"AURKA","6790"
"CENPA","1058"
"MTHFD2","10797"
"ABLIM1","3983"
"MMP9","4318"
"BMP2","650"
"ANP32E","81611"
"FOSB","2354"
"PRC1","9055"
"DCN","1634"
"FLRT3","23767"
"UBE2S","27338"
"CEBPD","1052"
"PGK1","5230"
"RGS5","8490"
"SLC7A5","8140"
"ACP5","54"
"KIF11","3832"
"H2AC18","8337"
"ZFP36","7538"
"CPA3","1359"
"ANXA8L1","728113"
"PTN","5764"
"F2RL1","2150"
"KCTD12","115207"
"HPCAL1","3241"
"NTRK2","4915"
"PROS1","5627"
"GADD45B","4616"
"HSPD1","3329"
"CXCL13","10563"
"CEACAM1","634"
"FKBP11","51303"
"ARHGAP29","9411"
"ADGRF5","221395"
"CADM1","23705"
"ANXA3","306"
"ELF3","1999"
"PCDH9","5101"
"CXCL3","2921"
"ETV1","2115"
"BUB1","699"
"TTK","7272"
"CXCL12","6387"
"MCAM","4162"
"EDN1","1906"
"TPSAB1","7177"
"C4BPA","722"
"S100A4","6275"
"GGTLC1","92086"
"ABCG1","9619"
"POSTN","10631"
"MECOM","2122"
"COL4A5","1287"
"VCAN","1462"
"PERP","64065"
"PMAIP1","5366"
"SPINK1","6690"
"RAB11FIP1","80223"
"KRT19","3880"
"TRIM2","23321"
"DKK3","27122"
"LAPTM4B","55353"
"DUSP1","1843"
"CEACAM5","1048"
"EMP1","2012"
"NQO1","1728"
"SFN","2810"
"DPT","1805"
"TPSB2","64499"
"EZH2","2146"
"DNAJC12","56521"
"SRPX2","27286"
"DMD","1756"
"SCG5","6447"
"DSP","1832"
"MATN2","4147"
"IGF2BP3","10643"
"C1orf116","79098"
"COL5A1","1289"
"XAGE1B","653067"
"TNFSF10","8743"
"GCNT3","9245"
"FBP1","2203"
"ID1","3397"
"NDC80","10403"
"IRAK3","11213"
"MXRA5","25878"
"NR4A1","3164"
"TRIP13","9319"
"GDF15","9518"
"LGSN","51557"
"CPD","1362"
"COMP","1311"
"APOBEC3B","9582"
"TYROBP","7305"
"MAFF","23764"
"SCGB1A1","7356"
"FOLR1","2348"
"PBK","55872"
"GPR37","2861"
"NR4A3","8013"
"CDKN2A","1029"
"SFTPA2","729238"
"UBD","10537"
"IGK","50802"
"KRT15","3866"
"CX3CR1","1524"
"KCNJ15","3772"
"HPGD","3248"
"S100P","6286"
"WFDC2","10406"
"IL1RL1","9173"
"MNDA","4332"
"AGR2","10551"
"NMU","10874"
"MUC16","94025"
"ALOX5AP","241"
"AHNAK2","113146"
"IGLJ3","28831"
"IGHA1","3493"
"CXCL2","2920"
"IGHG3","3502"
"NETO2","81831"
"IGHV1-69","28461"
"IGHM","3507"
"S100A2","6273"
"COCH","1690"
"IGKC","3514"
"IGKV1OR1-1","3525"
"CHI3L1","1116"
"SLC7A11","23657"
"CFB","629"
"CST1","1469"
"IGLV3-10","28803"
"GCLC","2729"
"GPR87","53836"
"EDNRA","1909"
"HS3ST1","9957"
"ATF3","467"
"IGKV1OR2-108","28862"
"ADGRG6","57211"
"IGKV2D-28","28883"
"IGLV2-14","28815"
"IGKV1D-37","28894"
"CYP2B6","1555"
"IGKV1-17","28937"
"CD55","1604"
"IGLV3-19","28797"
"POU2AF1","5450"
"EGR1","1958"
"TNC","3371"
"IGKV1D-13","28902"
"QPCT","25797"
"C1QB","713"
"IGKV4-1","28908"
"PLA2G4A","5321"
"EEF1A2","1917"
"IGKV1D-39","28893"
"DMBT1","1755"
"IGHD","3495"
"CCN2","1490"
"MMP7","4316"
"IGLV3-25","28793"
"TMPRSS11E","28983"
"CXCL14","9547"
"PCP4","5121"
"SCEL","8796"
"TCN1","6947"
"NR4A2","4929"
"CYP24A1","1591"
"MUC4","4585"
"FOS","2353"
"IL6","3569"
"IGFBP2","3485"
"TFPI2","7980"
"LCN2","3934"
"MUC5B","727897"
"MAGEA6","4105"
"MAGEA3","4102"
